"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
838,1.8903303,838,0.001436605,215.42853050646139,,
839,1.8900429,839,0.001434455,214.8497396855851,,
840,1.8897572,840,0.001432293,214.2705317422898,,
841,1.8894714,841,0.001430132,213.69285064749957,,
842,1.8891857,842,0.00142797,213.11639247252336,,
843,1.8889,843,0.001425809,212.54145099986758,,
844,1.8886143,844,0.001423647,211.96772305711607,,
845,1.8883286,845,0.001421486,211.3955017647688,,
846,1.8880428,846,0.001419324,210.82448470277447,,
847,1.8877622,847,0.001417087,210.24368872243681,,
848,1.8874824,848,0.001414836,209.66218790728155,,
849,1.8872025,849,0.001412586,209.0822049547134,,
850,1.8869227,850,0.001410335,208.5034388282617,,
851,1.8866429,851,0.001408085,207.92618057015198,,
852,1.8863631,852,0.001405834,207.35012988576304,,
853,1.8860834,853,0.001403583,206.7754298477619,,
854,1.8858036,854,0.001401333,206.20222285868596,,
855,1.8855271,855,0.001399034,205.62315492502188,,
856,1.8852526,856,0.001396707,205.04132945875887,,
857,1.8849782,857,0.00139438,204.4608618115536,,
858,1.8847038,858,0.001392053,203.8817472357871,,
859,1.8844292,859,0.001389726,203.3039810059478,,
860,1.8841548,860,0.001387399,202.72755841850355,,
861,1.8838803,861,0.001385072,202.1524747917734,,
862,1.8836058,862,0.001382745,201.5787254658013,,
863,1.8833356,863,0.0013804,201.00368477475553,,
864,1.883078,864,0.001377999,200.42183032657783,,
865,1.8828204,865,0.001375599,199.8414664825649,,
866,1.8825628,866,0.001373198,199.2622978625495,,
867,1.8823051,867,0.001370798,198.68461021248356,,
868,1.8820475,868,0.001368398,198.10825363995235,,
869,1.8817899,869,0.001365997,197.53307894249468,,
870,1.8815323,870,0.001363597,196.95937092676235,,
871,1.8812747,871,0.001361196,196.38683599062287,,
872,1.8810207,872,0.001358764,195.81114680560924,,
873,1.8807681,873,0.001356318,195.23476127063464,,
874,1.8805155,874,0.001353873,194.65983847567844,,
875,1.880263,875,0.001351427,194.08608617430372,,
876,1.8800104,876,0.001348982,193.51378726140945,,
877,1.8797578,877,0.001346536,192.94265018901646,,
878,1.8795052,878,0.001344091,192.37295723718265,,
879,1.8792526,879,0.001341645,191.8044175529228,,
880,1.879,880,0.0013392,191.23731280397504,,
881,1.8787638,881,0.001336725,190.6672163391517,,
882,1.8785275,882,0.001334251,190.09855508593358,,
883,1.8782914,883,0.001331776,189.53103953917105,,
884,1.8780551,884,0.001329301,188.96480796423373,,
885,1.877819,885,0.001326827,188.39999800156315,,
886,1.8775827,886,0.001324352,187.8363211723228,,
887,1.8773465,887,0.001321877,187.2739153167673,,
888,1.8771102,888,0.001319402,186.71277614106666,,
889,1.8768746,889,0.001316923,186.15233395471006,,
890,1.876643,890,0.00131441,185.58835055303192,,
891,1.8764114,891,0.001311896,185.02549207065476,,
892,1.8761799,892,0.001309382,184.4638956028121,,
893,1.8759484,893,0.001306868,183.9035569098135,,
894,1.8757169,894,0.001304355,183.34461233436758,,
895,1.8754853,895,0.001301841,182.7867763907035,,
896,1.8752538,896,0.001299327,182.2301856165565,,
897,1.8750223,897,0.001296813,181.67483584748007,,
898,1.8747909,898,0.001294298,181.12058300026558,,
899,1.8745642,899,0.001291761,180.56448799972438,,
900,1.8743373,900,0.001289223,180.00948913951086,,
901,1.8741106,901,0.001286685,179.45572224125124,,
902,1.8738838,902,0.001284147,178.90318320751095,,
903,1.873657,903,0.00128161,178.35200712147133,,
904,1.8734303,904,0.001279072,177.80191144302674,,
905,1.8732034,905,0.001276534,177.2530314456395,,
906,1.8729767,906,0.001273996,176.7053631038756,,
907,1.8727499,907,0.001271458,176.15890241005386,,
908,1.8725266,908,0.001268919,175.61350697799588,,
909,1.8723044,909,0.001266379,175.0691732919863,,
910,1.8720822,910,0.00126384,174.52617403573294,,
911,1.87186,911,0.0012613,173.984228934042,,
912,1.8716378,912,0.00125876,173.44347230845125,,
913,1.8714156,913,0.001256221,172.9040378920142,,
914,1.8711933,914,0.001253681,172.36564636958883,,
915,1.8709711,915,0.001251141,171.82843165923444,,
916,1.8707489,916,0.001248602,171.29252709421496,,
917,1.8705316,917,0.001246062,170.75765431264583,,
918,1.8703244,918,0.001243523,170.2240837198231,,
919,1.8701171,919,0.001240984,169.6916743252438,,
920,1.8699099,920,0.001238446,169.16055893337673,,
921,1.8697026,921,0.001235907,168.63046044387409,,
922,1.8694954,922,0.001233368,168.10151184263498,,
923,1.8692881,923,0.001230829,167.5737093922111,,
924,1.8690808,924,0.00122829,167.04704937133363,,
925,1.8688736,925,0.001225751,166.52152807482562,,
926,1.8686663,926,0.001223212,165.99714181351524,,
927,1.8684689,927,0.001220681,165.4749713905779,,
928,1.8682759,928,0.001218153,164.95433257536067,,
