"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
742,0.0765,742,4.8046,813697.9009939363,,
743,0.0767,743,4.8124,813921.9642603243,,
744,0.0769,744,4.8201,814128.5349230196,,
745,0.0771,745,4.8279,814351.4186451631,,
746,0.0773,746,4.8356,814556.8598229922,,
747,0.0775,747,4.8434,814778.5734081287,,
748,0.0776,748,4.8511,814982.8942154783,,
749,0.0778,749,4.8589,815203.4469707583,,
750,0.078,750,4.8666,815406.6564245381,,
751,0.0782,751,4.8744,815626.0575583535,,
752,0.0784,752,4.8821,815828.1645792942,,
753,0.0786,753,4.8898,816029.7347953982,,
754,0.0787,754,4.8976,816247.4366165182,,
755,0.0789,755,4.9053,816447.9175445836,,
756,0.0791,756,4.913,816647.868099823,,
757,0.0793,757,4.9208,816863.890609493,,
758,0.0795,758,4.9285,817062.7648135775,,
759,0.0797,759,4.9362,817261.1149749637,,
760,0.0798,760,4.9439,817458.943162241,,
761,0.08,761,4.9516,817656.2514331259,,
762,0.0802,762,4.9594,817869.5331345523,,
763,0.0804,763,4.9671,818065.7860889051,,
764,0.0806,764,4.9748,818261.5252920683,,
765,0.0808,765,4.9825,818456.7527587526,,
766,0.081,766,4.9902,818651.4704931481,,
767,0.0812,767,4.9979,818845.6804889922,,
768,0.0813,768,5.0056,819039.384729639,,
769,0.0815,769,5.0133,819232.5851881254,,
770,0.0817,770,5.021,819425.283827239,,
771,0.0819,771,5.0287,819617.4825995846,,
772,0.0821,772,5.0364,819809.1834476496,,
773,0.0823,773,5.0441,820000.3883038694,,
774,0.0825,774,5.0518,820191.0990906934,,
775,0.0827,775,5.0595,820381.3177206481,,
776,0.0829,776,5.0672,820571.046096402,,
777,0.0831,777,5.0749,820760.2861108285,,
778,0.0833,778,5.0825,820932.8874997493,,
779,0.0834,779,5.0902,821121.177165739,,
780,0.0836,780,5.0979,821308.9840377131,,
781,0.0838,781,5.1056,821496.3099701945,,
782,0.084,782,5.1132,821667.0872805796,,
783,0.0842,783,5.1209,821853.4773827828,,
784,0.0844,784,5.1286,822039.3920000313,,
785,0.0846,785,5.1363,822224.8329494653,,
786,0.0848,786,5.1439,822393.8142901037,,
787,0.085,787,5.1516,822578.3336331984,,
788,0.0852,788,5.1593,822762.3846530874,,
789,0.0854,789,5.1669,822930.0421715134,,
790,0.0856,790,5.1746,823113.1820387719,,
791,0.0858,791,5.1822,823279.9721584338,,
792,0.086,792,5.1899,823462.2077204882,,
793,0.0862,793,5.1976,823643.9836720459,,
794,0.0864,794,5.2052,823809.4750864278,,
795,0.0866,795,5.2129,823990.3569256973,,
796,0.0867,796,5.2205,824154.9973902269,,
797,0.0869,797,5.2282,824334.9917941358,,
798,0.0871,798,5.2358,824498.7877526535,,
799,0.0873,799,5.2434,824662.1737087723,,
800,0.0875,800,5.2511,824840.8591632682,,
801,0.0877,801,5.2587,825003.4101089961,,
802,0.0879,802,5.2664,825181.2244820592,,
803,0.0881,803,5.274,825342.9467014978,,
804,0.0883,804,5.2816,825504.2666268583,,
805,0.0885,805,5.2893,825680.7961556518,,
806,0.0887,806,5.2969,825841.2966153735,,
807,0.0889,807,5.3045,826001.399304439,,
808,0.0891,808,5.3122,826176.658138599,,
809,0.0893,809,5.3198,826335.9504853884,,
810,0.0895,810,5.3274,826494.8495177416,,
811,0.0897,811,5.335,826653.3566905819,,
812,0.0899,812,5.3427,826826.9492775461,,
813,0.0901,813,5.3503,826984.6580320526,,
814,0.0903,814,5.3579,827141.9792957618,,
815,0.0905,815,5.3655,827298.91449502,,
816,0.0907,816,5.3731,827455.4650491823,,
817,0.0909,817,5.3808,827627.0134852368,,
818,0.0911,818,5.3884,827782.7801761976,,
819,0.0914,819,5.396,827938.1664845189,,
820,0.0916,820,5.4036,828093.1738018442,,
821,0.0918,821,5.4112,828247.8035130374,,
822,0.092,822,5.4188,828402.0569962226,,
823,0.0922,823,5.4264,828555.9356228265,,
824,0.0924,824,5.434,828709.4407576183,,
825,0.0926,825,5.4416,828862.57375875,,
826,0.0928,826,5.4492,829015.3359777966,,
827,0.093,827,5.4568,829167.7287597961,,
828,0.0932,828,5.4644,829319.7534432883,,
829,0.0934,829,5.472,829471.4113603546,,
830,0.0936,830,5.4796,829622.7038366569,,
831,0.0938,831,5.4872,829773.632191476,,
832,0.094,832,5.4948,829924.1977377499,,
833,0.0942,833,5.5024,830074.4017821118,,
834,0.0944,834,5.5099,830209.1780342639,,
835,0.0946,835,5.5175,830358.6810146915,,
836,0.0948,836,5.5251,830507.8263324865,,
837,0.0951,837,5.5327,830656.6152695938,,
838,0.0953,838,5.5403,830805.0491018393,,
839,0.0955,839,5.5479,830953.1290989661,,
840,0.0957,840,5.5554,831085.8965596542,,
841,0.0959,841,5.563,831233.2904599295,,
842,0.0961,842,5.5706,831380.3342559288,,
843,0.0963,843,5.5782,831527.0291935744,,
844,0.0965,844,5.5857,831658.4874481758,,
845,0.0967,845,5.5933,831804.5060034931,,
846,0.0969,846,5.6009,831950.17936128,,
847,0.0972,847,5.6084,832080.6724152537,,
848,0.0974,848,5.616,832225.6765358621,,
849,0.0976,849,5.6236,832370.3390684364,,
850,0.0978,850,5.6311,832499.8772531523,,
851,0.098,851,5.6387,832643.8775932676,,
852,0.0982,852,5.6463,832787.5399044155,,
853,0.0984,853,5.6538,832916.1334052039,,
854,0.0986,854,5.6614,833059.1404699418,,
855,0.0988,855,5.6689,833187.1155057395,,
856,0.0991,856,5.6765,833329.4718739468,,
857,0.0993,857,5.6841,833471.496021925,,
858,0.0995,858,5.6916,833598.5429916861,,
859,0.0997,859,5.6992,833739.9232288218,,
860,0.0999,860,5.7067,833866.3626158546,,
861,0.1001,861,5.7143,834007.1033871385,,
862,0.1003,862,5.7218,834132.9394575442,,
863,0.1006,863,5.7294,834273.0451669692,,
864,0.1008,864,5.7369,834398.2821471891,,
865,0.101,865,5.7444,834523.2295621367,,
866,0.1012,866,5.752,834662.3992354961,,
867,0.1014,867,5.7595,834786.7537877931,,
868,0.1016,868,5.7671,834925.2991943639,,
